Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Airball,1987,Action,Top-down,DOS,7.3,75% (11),"MicroDeal Ltd., Atari Corporation, Pixel Games UK",MicroDeal Ltd.,0.0,1.0,"Fixed / flip-screen, Isometric"
Beyond Zork: The Coconut of Quendor,1987,Adventure,Text-based / Spreadsheet,DOS,7.2,84% (13),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Fixed / flip-screen
Big Top,1983,Action,Side view,PC Booter,,78% (1),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,Fixed / flip-screen
Bop'N Wrestle,1985,Sports,Wrestling,Commodore 64,6.4,62% (5),"Melbourne House, Mindscape, Inc., Firebird Software, Ziggurat Interactive, Inc.",Melbourne House,0.0,1.0,
Chessmaster 5000,1996,Strategy,Chess,Windows,7.6,81% (10),"Mindscape, Inc.","Mindscape, Inc.",0.0,1.0,
Conquest,1983,Action,3rd-person (Other),PC Booter,,(8),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,Fixed / flip-screen
Cosmic Crusader,1982,Action,Top-down,PC Booter,7.0,(15),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,"Arcade, Shooter"
Deadline,1982,Adventure,Text-based / Spreadsheet,PC Booter,7.6,85% (10),"Infocom, Inc., Commodore Business Machines (UK) Ltd., Commodore Business Machines, Inc","Infocom, Inc.",0.0,1.0,Fixed / flip-screen
Digger,1983,Action,Side view,PC Booter,7.2,82% (3),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,Fixed / flip-screen
Enchanter,1983,Adventure,Interactive fiction / text adventure,PC Booter,6.7,83% (7),"Infocom, Inc., Mastertronic Ltd.","Infocom, Inc.",0.0,1.0,Fantasy
Fire Hawk: Thexder - The Second Contact,1989,Action,Side view,MSX,7.3,(19),"Game Arts Co., Ltd., Sierra On-Line, Inc.","Game Arts Co., Ltd.",0.0,1.0,2D scrolling
Indianapolis 500: The Simulation,1989,Racing / Driving,1st-person,DOS,7.6,83% (21),"Electronic Arts, Inc., Hit Squad, The","Electronic Arts, Inc.",0.0,1.0,"Automobile, Track racing, Vehicle simulator"
Infidel,1983,Adventure,Fixed / flip-screen,PC Booter,6.8,72% (7),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Interactive fiction / text adventure
Knights of the Sky,1990,Simulation,1st-person,DOS,7.2,83% (18),"MicroProse Software, Inc., U.S. Gold Ltd., Night Dive Studios, LLC, Tommo Inc.","MicroProse Software, Inc.",0.0,1.0,"Flight / aviation, Vehicular combat"
Leather Goddesses of Phobos,1986,Adventure,Interactive fiction / text adventure,Amstrad CPC,7.4,82% (15),"Infocom, Inc., Asgard Software, Mastertronic Ltd., Activision Publishing, Inc.","Infocom, Inc.",0.0,1.0,Sci-fi / futuristic
Manhunter 2: San Francisco,1989,Adventure,1st-person,DOS,6.7,60% (13),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
Manhunter: New York,1988,Adventure,1st-person,Apple II,6.9,65% (7),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
Master Miner,1983,Action,Top-down,PC Booter,,64% (1),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,"Arcade, Shooter"
Moon Bugs,1983,Action,Top-down,PC Booter,7.0,(14),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,"Arcade, Shooter"
OutRun,1986,Racing / Driving,Behind view,Arcade,7.4,74% (57),"SEGA Enterprises Ltd., U.S. Gold Ltd., SEGA of America, Inc.",SEGA Enterprises Ltd.,0.0,1.0,Arcade
Planetfall,1983,Adventure,Interactive fiction / text adventure,DOS,7.7,80% (9),"Infocom, Inc., Digital Equipment Corporation, Mastertronic Ltd., SystemSoft","Infocom, Inc.",0.0,1.0,Sci-fi / futuristic
Rocket Ranger,1988,Action,Sci-fi / futuristic,DOS,7.9,77% (21),"Mirrorsoft Ltd., Cinemaware Corporation, Kemco/Seika",Mirrorsoft Ltd.,0.0,1.0,
Rollo and the Brush Brothers,1984,Action,Top-down,PC Booter,,78% (1),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,Fixed / flip-screen
Sargon V: World Class Chess,1991,Strategy,Chess,DOS,,72% (3),"Activision, Inc., G.A.M. Corporation","Activision, Inc.",0.0,1.0,
Seastalker,1984,Adventure,Interactive fiction / text adventure,DOS,6.8,71% (6),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Text parser
Sid Meier's Alpha Centauri,1999,Strategy,Diagonal-down,Windows,8.0,88% (39),"Electronic Arts, Inc., Tandem Verlag GmbH, Aspyr Media, Inc.","Electronic Arts, Inc.",0.0,1.0,"Free-roaming camera, Isometric"
Sid Meier's Civilization II,1996,Strategy,Diagonal-down,Windows 3.x,8.0,88% (42),"MicroProse Software, Inc., Acer TWP Corp, MacPlay","MicroProse Software, Inc.",0.0,1.0,"Free-roaming camera, Isometric"
Sid Meier's Gettysburg!,1997,Strategy,Diagonal-down,Windows,7.9,84% (16),"Firaxis Games East, Inc.","Firaxis Games East, Inc.",0.0,1.0,Real-time
SimCity 3000,1999,Simulation,Diagonal-down,Windows,7.8,81% (41),"Electronic Arts, Inc., Dice Multi Media Europe B.V.","Electronic Arts, Inc.",0.0,1.0,"Free-roaming camera, Isometric"
Skate or Die,1987,Sports,Diagonal-down,Commodore 64,6.9,67% (25),"Electronic Arts, Inc., Ultra Games, Palcom Software Ltd., Konami Digital Entertainment GmbH","Electronic Arts, Inc.",0.0,1.0,"Olympiad / mixed sports, Skateboarding"
Snack Attack II,1982,Action,Top-down,PC Booter,,(9),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,Fixed / flip-screen
Sorcerer,1984,Adventure,Interactive fiction / text adventure,Macintosh,7.3,80% (9),"Infocom, Inc., Mastertronic Ltd.","Infocom, Inc.",0.0,1.0,Fantasy
Spellbreaker,1985,Adventure,Interactive fiction / text adventure,DOS,7.1,77% (10),"Infocom, Inc., Asgard Software","Infocom, Inc.",0.0,1.0,Fantasy
Spitfire Ace,1982,Simulation,1st-person,Atari 8-bit,,39% (2),"MicroProse Software, Inc., U.S. Gold Ltd.","MicroProse Software, Inc.",0.0,1.0,"Flight / aviation, Vehicular combat"
Starcross,1982,Adventure,Interactive fiction / text adventure,PC Booter,7.0,83% (5),"Infocom, Inc., Commodore Business Machines (Canada) Ltd., Commodore Business Machines, Inc","Infocom, Inc.",0.0,1.0,Sci-fi / futuristic
Styx,1984,Action,Top-down,DOS,5.9,81% (1),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,Fixed / flip-screen
Suspended,1983,Adventure,Text-based / Spreadsheet,Commodore 64,7.7,86% (7),"Commodore Electronics Ltd., Infocom, Inc., Digital Equipment Corporation",Commodore Electronics Ltd.,0.0,1.0,Fixed / flip-screen
The Ancient Art of War,1984,Strategy,Top-down,DOS,7.2,72% (2),"Brøderbund Software, Inc., Brøderbund Japan Inc.","Brøderbund Software, Inc.",0.0,1.0,Real-time
The Chessmaster 2000,1986,Strategy,Top-down,MSX,7.3,86% (5),"Dro Soft, Software Country, Electronic Arts, Inc.",Dro Soft,0.0,1.0,Isometric
The Chessmaster 3000,1991,Strategy,Chess,DOS,7.6,79% (13),"Software Toolworks, Inc., The, Ergo Software","Software Toolworks, Inc., The",0.0,1.0,
The Chessmaster 4000 Turbo,1993,Strategy,Chess,Windows 3.x,8.0,87% (9),"Software Toolworks, Inc., The, Mindscape, Inc.","Software Toolworks, Inc., The",0.0,1.0,
The Cycles: International Grand Prix Racing,1989,Racing / Driving,1st-person,Amiga,6.6,70% (15),"Accolade, Inc., Hit Squad, The","Accolade, Inc.",0.0,1.0,"Motorcycle, Track racing"
The Fidelity Chessmaster 2100,1988,Strategy,Top-down,Commodore 64,7.6,99% (4),"Software Toolworks, Inc., The","Software Toolworks, Inc., The",0.0,1.0,Isometric
The King of Chicago,1986,Adventure,1st-person,Macintosh,6.8,66% (10),"Cinemaware, Cinemaware, Inc., Cinemaware Corporation",Cinemaware,0.0,1.0,Interwar
The Three Stooges,1987,Action,Side view,DOS,6.8,63% (19),"Cinemaware Corporation, Cinemaware Corporation, Activision, Inc.",Cinemaware Corporation,0.0,1.0,2D scrolling
The Witness,1983,Adventure,Interactive fiction / text adventure,CP/M,6.9,77% (7),"Digital Equipment Corporation, Infocom, Inc.",Digital Equipment Corporation,0.0,1.0,Interwar
The X-Files Game,1998,Adventure,1st-person,Windows,7.1,70% (44),"Fox Interactive, Inc., Sony Computer Entertainment Europe Ltd.","Fox Interactive, Inc.",0.0,1.0,Live action
Thexder,1985,Action,Side view,PC-88,7.1,59% (14),"Game Arts Co., Ltd., Denyusya Square Co., Ltd., Eaglesoft, Sierra On-Line, Inc.","Game Arts Co., Ltd.",0.0,1.0,2D scrolling
V for Victory: Battleset 1 - D-Day Utah Beach - 19...,1991,Strategy,Top-down,DOS,6.9,76% (5),"Three-Sixty Pacific, Inc.","Three-Sixty Pacific, Inc.",0.0,1.0,Turn-based
V for Victory: Gold-Juno-Sword,1993,Strategy,Top-down,DOS,,67% (3),"Three-Sixty Pacific, Inc.","Three-Sixty Pacific, Inc.",0.0,1.0,Turn-based
V for Victory: Market Garden,1993,Strategy,Top-down,DOS,7.3,69% (3),"Three-Sixty Pacific, Inc.","Three-Sixty Pacific, Inc.",0.0,1.0,Turn-based
Who Framed Roger Rabbit,1988,Action,Arcade,DOS,5.9,57% (14),Buena Vista Software,Buena Vista Software,0.0,1.0,Licensed
Wing Commander,1990,Action,1st-person,DOS,7.9,82% (36),"ORIGIN Systems, Inc., Mindscape, Inc., Fujitsu Limited","ORIGIN Systems, Inc.",0.0,1.0,"Space flight, Vehicular combat"
Wing Commander Academy,1993,Action,1st-person,DOS,6.0,66% (9),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Space flight
Zork II: The Wizard of Frobozz,1981,Adventure,Text-based / Spreadsheet,Apple II,7.0,82% (8),"Infocom, Inc., Commodore Business Machines, Inc, Mastertronic Ltd.","Infocom, Inc.",0.0,1.0,Fixed / flip-screen
Zork III: The Dungeon Master,1982,Adventure,Text-based / Spreadsheet,TRS-80 CoCo,7.2,75% (10),"Infocom, Inc., Commodore Electronics Ltd., Mastertronic Ltd.","Infocom, Inc.",0.0,1.0,Fixed / flip-screen
Zork Zero: The Revenge of Megaboz,1989,Adventure,Interactive fiction / text adventure,Macintosh,7.4,83% (15),"Infocom, Inc., Activision Publishing, Inc.","Infocom, Inc.",0.0,1.0,Fantasy
Zork: The Great Underground Empire,1980,Adventure,Text-based / Spreadsheet,Mainframe,7.2,84% (17),"Personal Software Inc., Infocom, Inc., Tandy Corporation",Personal Software Inc.,0.0,1.0,"Interactive fiction / text adventure, Puzzle elements"
Zyll,1984,Adventure,Real-time,PC Booter,7.1,(11),International Business Machines Corporation (IBM),International Business Machines Corporation (IBM),0.0,1.0,Interactive fiction / text adventure
Sid Meier's Railroad Tycoon,1990,Simulation,Top-down,DOS,8.3,90% (29),"MicroProse Software, Inc., Action Sixteen","MicroProse Software, Inc.",0.0,1.0,Real-time
Night Mission Pinball (v3.0),1988,Simulation,Arcade,DOS,,(5),subLOGIC,subLOGIC,0.0,1.0,
Night Mission Pinball,1982,Simulation,Arcade,Commodore 64,7.1,81% (4),subLOGIC,subLOGIC,0.0,1.0,
Archon: The Light and the Dark,1983,Action,Top-down,Atari 8-bit,7.4,76% (16),"Electronic Arts, Inc., Ariolasoft UK, Bullet-Proof Software, Inc.","Electronic Arts, Inc.",0.0,1.0,"Real-time, Turn-based"
Project Neptune,1988,Action,1st-person,Amiga,6.8,69% (12),"Infogrames Europe SA, Epyx, Inc., Smash 16, BUG Multisystem Ltd.",Infogrames Europe SA,0.0,1.0,Shooter
Crossfire,1981,Action,Top-down,Apple II,7.0,79% (3),"Sierra On-Line, Inc., International Business Machines Corporation (IBM)","Sierra On-Line, Inc.",0.0,1.0,Arcade
Shamus,1982,Action,Top-down,Atari 8-bit,6.7,60% (5),"Human Engineered Software, Synapse Software Corporation, Tandy Corporation",Human Engineered Software,0.0,1.0,Arcade
Karnov,1987,Action,Side view,PC Booter,5.9,65% (14),"Electric Dreams Software, Data East USA, Inc., Data East Corporation, Namco Limited",Electric Dreams Software,0.0,1.0,2D scrolling
Prince of Persia 2: The Shadow & The Flame,1993,Action,Side view,DOS,7.8,75% (22),"Brøderbund Software, Inc., Interprog, Titus Software Corporation","Brøderbund Software, Inc.",0.0,1.0,2D scrolling
Mine Shaft,1983,Action,,PC Booter,6.4,(11),"International Business Machines Corporation (IBM), Sierra On-Line, Inc.",International Business Machines Corporation (IBM),0.0,1.0,
Jumpman,1983,Action,Side view,Commodore 64,7.4,80% (6),"Epyx, Inc., International Business Machines Corporation (IBM), CBS Electronics Software","Epyx, Inc.",0.0,1.0,Fixed / flip-screen
TV and Cinema 101: Trivia from Talkies to Trekkies,1984,Game show / trivia / quiz,,PC Booter,,(3),"Digital Learning Systems, Inc.","Digital Learning Systems, Inc.",0.0,1.0,
Bumble Plot,1982,Educational,Math / logic,Commodore 64,,(3),"Learning Co., Inc., The, International Business Machines Corporation (IBM)","Learning Co., Inc., The",0.0,1.0,
Adventures in Math,1983,Educational,1st-person,DOS,6.5,(10),International Business Machines Corporation (IBM),International Business Machines Corporation (IBM),0.0,1.0,Math / logic
Monster Math,1983,Educational,Math / logic,DOS,,(7),International Business Machines Corporation (IBM),International Business Machines Corporation (IBM),0.0,1.0,
Starflight 2: Trade Routes of the Cloud Nebula,1989,Role-playing (RPG),Real-time,DOS,7.4,77% (11),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,Space flight
The Crimson Crown,1985,Adventure,Interactive fiction / text adventure,Commodore 64,7.1,(35),"Polarware, StarCraft, Inc.",Polarware,0.0,1.0,
Cutthroats,1984,Adventure,Fixed / flip-screen,"Commodore 16, Plus/4",6.9,67% (3),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Interactive fiction / text adventure
The Hitchhiker's Guide to the Galaxy,1984,Adventure,Text-based / Spreadsheet,TRS-80 CoCo,7.9,86% (14),"Infocom, Inc., Mastertronic Ltd., BBC Multimedia, British Broadcasting Corporation","Infocom, Inc.",0.0,1.0,Interactive fiction / text adventure
Dr. Dumont's Wild P.A.R.T.I.,1999,Adventure,Interactive fiction / text adventure,DOS,,(2),Cascade Mountain Publishing,Cascade Mountain Publishing,0.0,1.0,
Tass Times in Tonetown,1986,Adventure,Interactive fiction / text adventure,Commodore 64,7.5,77% (8),"Activision, Inc.","Activision, Inc.",0.0,1.0,
Transylvania,1982,Adventure,Interactive fiction / text adventure,Apple II,7.2,33% (1),"Penguin Software, Inc., StarCraft, Inc.","Penguin Software, Inc.",0.0,1.0,Horror
Altered Destiny,1990,Adventure,3rd-person (Other),DOS,6.8,64% (10),"Accolade, Inc., Ziggurat Interactive, Inc.","Accolade, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
Suspect,1984,Adventure,Interactive fiction / text adventure,"Commodore 16, Plus/4",8.0,82% (5),"Infocom, Inc., Asgard Software","Infocom, Inc.",0.0,1.0,Detective / mystery
A Mind Forever Voyaging,1985,Adventure,Text-based / Spreadsheet,Commodore 128,7.8,80% (7),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Interactive fiction / text adventure
Wishbringer,1985,Adventure,Interactive fiction / text adventure,TRS-80 CoCo,7.6,82% (9),"Infocom, Inc., Asgard Software, Mastertronic Ltd.","Infocom, Inc.",0.0,1.0,Fantasy
Quarantine,1994,Action,1st-person,DOS,6.5,62% (28),"GameTek, Inc., Double Play, Imagineer Co., Ltd.","GameTek, Inc.",0.0,1.0,Shooter
Wonderland,1990,Adventure,Interactive fiction / text adventure,DOS,7.8,83% (19),"Virgin Mastertronic Ltd., Virgin Games, Inc.",Virgin Mastertronic Ltd.,0.0,1.0,Licensed
Rise of the Dragon,1990,Adventure,1st-person,DOS,7.6,77% (38),"Sierra On-Line, Inc., SEGA Enterprises Ltd., Dynamix, Inc., Activision Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,Graphic adventure
Big Red Racing,1995,Action,1st-person,Windows,7.3,77% (16),"Domark Software Ltd., Eidos Interactive Limited, Domark Software, Inc., Eidos Interactive, Inc.",Domark Software Ltd.,0.0,1.0,Automobile
Touchdown Football,1984,Sports,Football (American),PC Booter,5.3,39% (4),"International Business Machines Corporation (IBM), Electronic Arts, Inc., Ariolasoft UK, Atari Corporation",International Business Machines Corporation (IBM),0.0,1.0,
Armor Alley,1991,Action,Side view,DOS,6.2,50% (8),"Three-Sixty Pacific, Inc.","Three-Sixty Pacific, Inc.",0.0,1.0,2D scrolling
Robotron: 2084,1982,Action,Top-down,Arcade,7.3,78% (26),"Williams Electronics, Inc., Atarisoft, Atari, Inc.","Williams Electronics, Inc.",0.0,1.0,Fixed / flip-screen
Wibarm,1986,Action,Behind view,PC-98,,(7),"Arsys Software, Inc., Brøderbund Software, Inc., Apros","Arsys Software, Inc.",0.0,1.0,2D scrolling
Ultima VI: The False Prophet,1990,Role-playing (RPG),Top-down,DOS,7.9,86% (36),"ORIGIN Systems, Inc., Pony Canyon, Inc., Fujitsu Limited","ORIGIN Systems, Inc.",0.0,1.0,2D scrolling
MechWarrior,1989,Action,1st-person,DOS,7.4,80% (7),"Activision, Inc., Cross Media Soft","Activision, Inc.",0.0,1.0,"Mecha / giant robot, Vehicular combat"
Test Drive,1987,Racing / Driving,1st-person,DOS,7.1,70% (17),"Accolade, Inc., Pony Canyon, Inc.","Accolade, Inc.",0.0,1.0,"Automobile, Street racing, Vehicle simulator"
Chuck Yeager's Air Combat,1991,Simulation,1st-person,DOS,7.5,80% (11),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,"Flight / aviation, Vehicular combat"
Life & Death,1988,Simulation,1st-person,DOS,7.5,75% (16),"Software Toolworks, Inc., The, Mindscape, Inc., Mindscape International Ltd.","Software Toolworks, Inc., The",0.0,1.0,Fixed / flip-screen
Dark Castle,1986,Action,Platform,Macintosh,5.3,47% (32),"Silicon Beach Software, Inc., Mirrorsoft Ltd., Three-Sixty Pacific, Inc.","Silicon Beach Software, Inc.",0.0,1.0,Fantasy
Virtuoso,1994,Action,1st-person,DOS,4.5,40% (17),"Nova Spring, Elite Systems Ltd., Data East USA, Inc., Imagineer Co., Ltd.",Nova Spring,0.0,1.0,Shooter
NHL 96,1995,Sports,Diagonal-down,DOS,7.8,82% (12),"Pioneer Productions, Electronic Arts Canada",Pioneer Productions,0.0,1.0,2D scrolling
Myth: The Fallen Lords,1997,Strategy,Diagonal-down,Windows,8.0,86% (26),"Eidos Interactive Limited, Bungie Software Products Corporation",Eidos Interactive Limited,0.0,1.0,Free-roaming camera
Space Quest: Chapter I - The Sarien Encounter,1986,Adventure,Side view,DOS,7.5,69% (13),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Starflight,1986,Role-playing (RPG),Top-down,DOS,8.0,81% (27),"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Electronic Arts, Inc.",0.0,1.0,Real-time
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Forsaken,1998,Action,1st-person,Windows,7.8,84% (29),"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.","Acclaim Entertainment, Inc.",0.0,1.0,Shooter
The Beast Within: A Gabriel Knight Mystery,1995,Adventure,3rd-person (Other),Windows,8.2,89% (33),"Sierra On-Line, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
Quest for Glory: Shadows of Darkness,1993,Action,3rd-person (Other),DOS,7.7,76% (16),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
The Punisher,1990,Action,1st-person,DOS,,(9),Paragon Software Corporation,Paragon Software Corporation,0.0,1.0,Shooter
Motorhead,1998,Racing / Driving,1st-person,Windows,7.1,74% (28),"Gremlin Interactive Limited, Fox Interactive, Inc., ZOO Digital Publishing Ltd.",Gremlin Interactive Limited,0.0,1.0,Sci-fi / futuristic
King's Quest,1984,Adventure,Diagonal-down,PC Booter,7.0,68% (19),"Sierra On-Line, Inc., International Business Machines Corporation (IBM), Parker Brothers","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
King's Quest II: Romancing the Throne,1985,Adventure,Side view,Atari ST,7.1,76% (13),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Rampage,1986,Action,Side view,Arcade,6.5,65% (53),"Bally Midway Mfg Co., Activision, Inc., SEGA Enterprises Ltd.",Bally Midway Mfg Co.,0.0,1.0,Fixed / flip-screen
Star Control 3,1996,Action,Top-down,DOS,6.0,68% (23),"Accolade, Inc., Atlam Toys, Warner Interactive Entertainment Ltd.","Accolade, Inc.",0.0,1.0,Real-time
King's Quest III: To Heir is Human,1986,Adventure,Side view,DOS,7.3,75% (14),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Moto Racer,1997,Racing / Driving,Behind view,Windows,8.0,81% (27),"Electronic Arts, Inc., Nobilis France, Microïds","Electronic Arts, Inc.",0.0,1.0,Direct control
Space Quest II: Chapter II - Vohaul's Revenge,1987,Adventure,Side view,DOS,7.2,69% (15),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
King's Quest IV: The Perils of Rosella,1988,Adventure,Side view,DOS,7.7,77% (23),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
King's Quest V: Absence Makes the Heart Go Yonder!,1990,Adventure,Side view,DOS,7.6,78% (26),"Erbe Software, S.A., Sierra On-Line, Inc., Sierra On-Line Japan, Inc.","Erbe Software, S.A.",0.0,1.0,"Graphic adventure, Puzzle elements"
"King's Quest VI: Heir Today, Gone Tomorrow",1992,Adventure,3rd-person (Other),DOS,8.0,83% (26),"Sierra On-Line, Inc., Erbe Software, S.A.","Sierra On-Line, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
Call of Cthulhu: Shadow of the Comet,1993,Adventure,Side view,DOS,7.7,78% (21),"Infogrames Europe SA, I•Motion, Inc., Electronic Arts Victor, Atari, Inc.",Infogrames Europe SA,0.0,1.0,"Graphic adventure, Puzzle elements"
Jungle Hunt,1982,Action,Side view,Arcade,7.3,77% (18),"Taito America Corporation, Taito Corporation, Atarisoft, Atari, Inc.",Taito America Corporation,0.0,1.0,2D scrolling
Captain Blood,1988,Adventure,1st-person,DOS,7.6,84% (27),"ERE Informatique, Exxos, Infogrames UK Ltd.",ERE Informatique,0.0,1.0,Sci-fi / futuristic
Roberta Williams' King's Quest VII: The Princeless...,1994,Adventure,3rd-person (Other),DOS,7.3,79% (23),"Sierra On-Line, Inc., BMM GmbH, Soft Club","Sierra On-Line, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
King's Quest: Mask of Eternity,1998,Action,1st-person,Windows,7.2,78% (30),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
Galaxian,1979,Action,Side view,Arcade,7.2,76% (18),"Namco Limited, Petaco S.A., Midway Mfg. Co.",Namco Limited,0.0,1.0,Fixed / flip-screen
Pac-Man,1980,Action,Diagonal-down,Arcade,7.1,62% (81),"Namco Limited, Midway Mfg. Co., Commodore Japan Limited",Namco Limited,0.0,1.0,Fixed / flip-screen
Dig Dug,1982,Action,Side view,Arcade,7.3,73% (40),"Atari, Inc., Namco Limited, TAKARA Co., Ltd.","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Defender,1981,Action,Side view,Arcade,7.5,74% (26),"Taito Corporation, Williams Electronics, Inc., Atarisoft",Taito Corporation,0.0,1.0,2D scrolling
Centipede,1981,Action,Side view,Arcade,7.1,66% (29),"Atari, Inc., Sanritsu Denki Co., Ltd., Atarisoft","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Space Quest III: The Pirates of Pestulon,1989,Adventure,Side view,DOS,8.0,81% (25),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Space Quest IV: Roger Wilco and the Time Rippers,1991,Adventure,Side view,DOS,7.5,68% (24),"Sierra On-Line, Inc., Sierra On-Line Japan, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Space Quest V: The Next Mutation,1993,Adventure,Side view,DOS,8.1,82% (15),"Dynamix, Inc.","Dynamix, Inc.",0.0,1.0,Fixed / flip-screen
Space Quest 6: Roger Wilco in the Spinal Frontier,1995,Adventure,Side view,Windows,7.5,73% (21),"Sierra On-Line, Inc., Coktel Vision, Sierra-Coktel Espana","Sierra On-Line, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
Police Quest: In Pursuit of the Death Angel,1987,Adventure,Side view,Amiga,7.5,75% (22),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Police Quest 2: The Vengeance,1988,Adventure,Side view,DOS,7.4,71% (21),"Sierra On-Line, Inc., Sierra On-Line Japan, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,Fixed / flip-screen
Police Quest 3: The Kindred,1991,Adventure,3rd-person (Other),DOS,7.4,73% (22),"Sierra On-Line, Inc., U.S. Gold Ltd.","Sierra On-Line, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
Daryl F. Gates Police Quest: Open Season,1993,Adventure,3rd-person (Other),DOS,6.9,74% (20),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,Graphic adventure
Daryl F. Gates' Police Quest: SWAT,1995,Action,3rd-person (Other),Windows,6.5,59% (17),"Sierra On-Line, Inc., Activision Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,Contemporary
Will Harvey's Music Construction Set,1984,Educational,Music,PC Booter,7.1,98% (2),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,
Mean 18,1986,Sports,Golf,DOS,6.3,59% (4),"Accolade, Inc., Atari Corporation, Hit Squad, The","Accolade, Inc.",0.0,1.0,
Police Quest: SWAT 2,1998,Strategy,Diagonal-down,Windows,6.7,67% (23),Yosemite Entertainment,Yosemite Entertainment,0.0,1.0,Isometric
Die by the Sword,1998,Action,Behind view,Windows,7.5,79% (25),"Treyarch Invention, LLC","Treyarch Invention, LLC",0.0,1.0,Hack and slash
Half-Life,1998,Action,1st-person,Windows,8.7,94% (59),"Sierra On-Line, Inc., Valve Corporation","Sierra On-Line, Inc.",0.0,1.0,Shooter
Dungeon Keeper,1997,Strategy,1st-person,Windows,8.0,90% (33),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,Free-roaming camera
Cyberswine,1997,Adventure,Full Motion Video (FMV),Windows,,46% (1),"Brilliant Digital Entertainment, Inc.","Brilliant Digital Entertainment, Inc.",0.0,1.0,"Cyberpunk / dark sci-fi, Sci-fi / futuristic"
Test Drive III: The Passion,1990,Racing / Driving,1st-person,DOS,7.0,66% (6),"Accolade, Inc.","Accolade, Inc.",0.0,1.0,"Automobile, Street racing, Vehicle simulator"
Exterminator,1982,Action,Top-down,Commodore 64,,80% (2),"Bubble Bus Software, Nüfekop",Bubble Bus Software,0.0,1.0,"Arcade, Shooter"
